#NAME	SRR18776267	SRR18776268	SRR18776259	SRR18776269	SRR18776266	SRR18776265	SRR18776260	SRR18776270	SRR18776262	SRR18776271	SRR18776264	SRR18776261	SRR18776419	SRR18776420	SRR18776421	SRR14411053	SRR14411055	SRR14411054	SRR14411057	SRR14411056	SRR18776307	SRR18776308	SRR18776309	SRR7958220	SRR18774291	SRR18774282	SRR18774284	SRR18774285	SRR18774281	SRR18774286	SRR18774280	SRR18774288	SRR18774289	SRR18774287	SRR18774279	SRR18774290	SRR18776275	SRR18776254	SRR18776258	SRR18776255	SRR18776252	SRR18776253	SRR18776257	SRR18776273	SRR18776272	SRR18776256	SRR18776274	SRR18776263	SRR18776422	SRR18776423	SRR18776424	SRR14411052	SRR14411051	SRR14411048	SRR14411049	SRR14411050	SRR18776312	SRR18776310	SRR18776311	SRR7958217	SRR7958223	SRR18774277	SRR18774276	SRR18774294	SRR18774293	SRR18774292	SRR18774274	SRR18774295	SRR18774275	SRR18774272	SRR18774273	SRR18774283	SRR18774278
MJ034-1-barcode32-umi11959bins-ubs-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
MG843843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
G001556185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	4	3	4	5	2	0	108	0	2	0	0	0	0	0	30	0	0	0	0	0	0	0	0	17	74	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	3	2	2	112
MJ033-1-barcode32-umi41292bins-ubs-3	122	24	23	10	157	22	20	19	51	31	88	57	10	157	22	79	150	169	90	151	0	0	0	0	0	6	4	4	0	27	8	7	13	0	0	0	68	10	174	214	8	335	82	346	31	229	213	707	168	82	707	140	42	12	138	53	0	0	0	0	0	3	3	40	3	2	3	62	6	7	14	0	0
RS-GCF-014842975.1-NZ-JACYXK010000022.1	10	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ030-2-barcode59-umi45307bins-ubs-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	26	6	0	31	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ030-2-barcode65-umi35257bins-ubs-21	3	29	3	0	13	1	9	0	0	9	5	12	0	13	1	0	0	0	0	0	0	0	0	0	1	19	0	0	0	2	0	0	0	0	0	3	12	11	12	11	4	3	10	0	0	14	61	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	5	13	2	0	0
MJ033-1-barcode40-umi37782bins-ubs-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	34	0	0	0	1	0	0	13	6	34	135	0	5	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	31	0	0	4	4	0	80	7	38
MJ033-1-barcode38-umi10154bins-ubs-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ010-1-barcode26-umi103948bins-ubs-6	6	3	7	10	0	1	4	7	0	0	3	10	10	0	1	0	0	0	0	0	8	2	13	0	8	9	22	6	15	0	4	13	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	19	0	0	0	0	2	0
CP001700	11	0	53	0	0	0	24	0	0	4	0	0	0	0	0	11	22	40	33	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	1	118	0	18	8	10	8	10	7	4	0	25	0	8	25	0	7	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	3	6	0	0	0
RS-GCF-011302915.1-NZ-CP049872.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ020-2-barcode52-umi2632bins-ubs-197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ033-1-barcode39-umi14265bins-ubs-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
HG738132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ033-1-barcode32-umi10292bins-ubs-28	5	27	18	15	9	10	21	3	7	4	10	7	6	9	10	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	0	7	0	11	0	2	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	5	1	6	0	0	0	0	0	0
MJ009-2-barcode67-umi14497bins-ubs-34	0	4	0	4	0	5	0	0	0	13	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
