#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
AB560974	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Cellulomonadaceae	 Promicromonospora	 Promicromonospora thailandica
MJ030-2-barcode65-umi4657bins-ubs-68	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Gp1-AA117	 Angelobacter	 Angelobacter sp003223515
RS-GCF-009004095.1-NZ-BKSS01000201.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_660879	 Moraxellaceae	 Acinetobacter	 Acinetobacter junii
LC127008	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Nocardioides_A_392796	 Nocardioides_A_392796 baekrokdamisoli
MJ006-2-barcode69-umi170627bins-ubs-3	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Oscillospirales	 Acutalibacteraceae	 Ruminococcus_E	 Ruminococcus_E bromii_B
MJ034-2-barcode51-umi11689bins-ubs-12	Bacteria	 Bdellovibrionota_473306	 Bdellovibrionia	 Bdellovibrionales	 JAMPXM01	 Ga0074137	 
MJ033-1-barcode34-umi394bins-ubs-446	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A pedocola
MJ030-2-barcode59-umi114240bins-ubs-4	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Aestuariivirgaceae	 Aestuariivirga	 Aestuariivirga litoralis
AF344179	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Weeksellaceae	 Kaistella	 Kaistella koreensis
MJ030-2-barcode65-umi110534bins-ubs-3	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 QHXM01	 QHXM01 sp003222945
EF494193	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingopyxis_485592	 Sphingopyxis sp001278035
AM040493	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Leucobacter	 Leucobacter sp000980875
GB-GCA-018971345.1-JAGXBA010000024.1	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 GCA-2729495	 GCA-2729495	 QUBU01	 
